course_name,course_link,course_source,course_tags
Origami Studio Documentation,http://origami.design/documentation/, (origami.design) ,"['Free', ' Video', ' Beginner', 'Docs']"
Learn Origami by Facebook,http://origami.design/tutorials/, (origami.design) ,"['Free', ' Video', ' Beginner', 'Docs']"
