course_name,course_link,course_source,course_tags
Autodesk 3ds Max: Complete Intro to 3d Using 3ds Max,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learn-3ds-max/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
3Ds Max Tutorial for Beginners - How to create a Stylized Chest - Modelling,https://www.youtube.com/watch?v=Q_Ks3QdmfvA&list=PLozD5GE_BHsmYputF9BMNjKJ2E3K5NfVe, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Getting Started with Autodesk 3ds Max,https://www.youtube.com/watch?v=TQRFLpFlqNk&list=PL65F8B8755BFDAA1E, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
3ds Max and V-Ray Tutorials,http://jamiecardoso-mentalray.blogspot.com/2019/07/available-coursestutorials-with-3ds-max.html, (jamiecardoso-mentalray.blogspot.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
