course_name,course_link,course_source,course_tags
Learn Figma - UI/UX Design Essential Training,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learn-figma, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Figma Tutorials,https://www.youtube.com/watch?v=RFi7wQHUP0c&list=PLXDU_eVOJTx4HJKh8tQkQRtIe5YlP5smB, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Figma Course,https://learnux.io/course/figma, (learnux.io) ,"['Free', ' Video', ' Beginner', 'Docs']"
Figma 101,https://trydesignlab.com/figma-101-course/lessons, (trydesignlab.com) ,"['Free', ' Beginner', 'Docs']"
Figma Tips and Tricks,https://webdesign.tutsplus.com/series/figma-tips-and-tricks--cms-1299, (webdesign.tutsplus.com) ,"['Free', ' Beginner', 'Docs']"
Design System in  Figma,https://designcode.io/design-system-figma, (designcode.io) ,"['Free', ' Beginner', 'Docs']"
Figma For Beginners,http://figmaforbeginners.com, (figmaforbeginners.com) ,"['Free', ' Beginner', 'Docs']"
Getting Started - Figma end-to-end,https://www.youtube.com/watch?v=T0kRCTOX0zY, (youtube.com) ,"['Free', ' Beginner', 'Docs']"
