course_name,course_link,course_source,course_tags
Premiere Pro CC 2017 - Full Tutorial for Beginners,https://www.youtube.com/watch?v=kCshcZ5mzPs, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Adobe Premiere Pro tutorials,https://helpx.adobe.com/premiere-pro/tutorials.html, (helpx.adobe.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Adobe Premiere Pro CC: Learn Video Editing In Premiere Pro,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/learnpremierepro/, (udemy.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
