course_name,course_link,course_source,course_tags
Better Web Typography in 13 Simple Steps,http://www.creativebloq.com/typography/better-web-typography-few-simple-steps-5132803, (creativebloq.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Power of the Pen – A Hand Lettering Tutorial,https://www.toptal.com/designers/typography/hand-lettering-tutorial, (toptal.com) ,"['Free', ' Beginner', 'Docs']"
Typography Course by Design Lab,http://trydesignlab.com/typography-course/, (trydesignlab.com) ,"['Paid', ' Video', ' Beginner', 'Docs']"
Typography Essentials ? A Getting Started Guide,http://freelancefolder.com/typography-essentials-a-getting-started-guide/, (freelancefolder.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
