course_name,course_link,course_source,course_tags
Affinity Photo Tutorials,https://www.youtube.com/playlist?list=PLH1tkjphTlWUlEKT63vb1IhVlHPp0e3eH, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Affinity Photo', 'Docs']"
Affinity Photo Tutorials for Beginners,https://www.youtube.com/watch?v=ejM8Xp06Zug&list=PLjZ7Y0kROWitLXsh6z4Z3qBYCS6xoIXHN, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
