course_name,course_link,course_source,course_tags
Getting Started With Affinity Designer,https://www.youtube.com/playlist?list=PL1t9c--IJQQ_eU6QulIVVfpNjJcIZIEtb, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Official Affinity Designer Video Tutorials (70+),https://forum.affinity.serif.com/index.php?/topic/10815-official-affinity-designer-video-tutorials-70/, (forum.affinity.serif.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Affinity Designer For Beginners,https://www.youtube.com/playlist?list=PLjZ7Y0kROWiu2qVKiQOzUgDKZvliLUxXD, (youtube.com) ,"['Free', ' Video', ' Beginner', 'Docs']"
Making a Funny Monster in Affinity Designer,https://www.frankentoon.com/toonlab/affinity-designer-character, (frankentoon.com) ,"['Free', ' Beginner', ' Exercises/Practice-programs', 'Docs']"
